,Commune,Hab. par km²
289,Anderlues,745
290,Le Coq,276
291,Rochefort,76
292,Zonnebeke,187
293,Deerlijk,747
294,Steenokkerzeel,536
295,Rijkevorsel,268
296,Furnes,129
297,Laarne,385
298,Kampenhout,372
299,Kinrooi,226
300,Hemiksem,2262
301,Profondeville,245
302,Gistel,286
303,Frasnes-lez-Anvaing,108
304,Berlaar,492
305,Theux,144
306,Wichelen,519
307,Beyne-Heusay,1649
308,Libramont-Chevigny,67
309,Roosdaal,546
310,Alken,422
311,Bernissart,271
312,Retie,245
313,Chaumont-Gistoux,245
314,Vosselaar,998
315,Staden,249
316,Hoeilaart,567
317,Seneffe,182
318,Grobbendonk,409
319,Tielt-Winge,260
320,Écaussinnes,332
321,Ingelmunster,702
322,Durbuy,73
323,Oud-Heverlee,368
324,Moorslede,324
325,Nieuport,344
326,Farciennes,1099
327,Florennes,85
328,Virton,119
329,La Calamine,629
330,Waesmunster,350
331,Damme,124
332,Raeren,153
333,Rebecq,245
334,Villers-la-Ville,231
335,La Panne,414
336,Aiseau-Presles,490
337,Niel,2050
338,Jurbise,187
339,Court-Saint-Étienne,404
340,Plombières,203
341,Estaimpuis,335
342,Hautem-Saint-Liévin,395
343,Braine-le-Château,468
344,Begijnendijk,601
345,Hulshout,610
346,Wijnegem,1343
347,Bierbeek,270
348,Houthulst,187
349,Welkenraedt,423
350,Fosses-la-Ville,165
351,Avelgem,470
352,Meerhout,285
353,Bertem,342
354,Hooglede,269
355,Holsbeek,263
356,Montigny-le-Tilleul,666
357,Wielsbeke,463
358,Huldenberg,252
359,Saint-Vith,68
360,Erquelinnes,225
361,Neupré,315
362,Oudenburg,279
363,Dessel,360
364,Spa,246
365,Ledeghem,394
366,Juprelle,274
367,Perwez,190
368,Kapelle-op-den-Bos,631
369,Chimay,49
370,Les Bons Villers,223
371,Halen,261
372,Philippeville,61
373,Beauraing,54
374,Lennik,304
375,Herenthout,400
376,Ardoye,268
377,La Bruyère,176
378,Awans,343
379,Lichtervelde,356
380,Pepinster,373
381,Yvoir,160
382,Orp-Jauche,179
383,Bassenge,236
384,Bertrix,65
385,Merksplas,199
386,Koekelare,224
387,Jalhay,82
388,Léau,186
389,Gingelom,155
390,Habay,84
391,Dentergem,334
392,Le Rœulx,201
393,Boutersem,771
394,Schelle,1100
395,Messancy,162
396,Lint,1505
397,Silly,124
398,Mont-Saint-Guibert,449
399,Hove,1296
400,Sombreffe,234
401,Zwalin,246
402,Neufchâteau,72
403,As,373
404,Fernelmont,125
405,Laethem-Saint-Martin,568
406,Quévy,125
407,Langemark-Poelkapelle,153
408,Brunehaut,174
409,Floreffe,207
410,Oostrozebeke,482
411,Trooz,332
412,Vorselaar,291
413,Heuvelland,84
414,Estinnes,109
415,Kortenaken,161
416,Vielsalm,56
417,Chastre,245
418,Dalhem,214
419,Antoing,243
420,Walhain,200
421,Heers,143
422,Waimes,78
423,La Hulpe,485
424,Wellen,279
425,Gesves,115
426,Hamois,98
427,Zutendaal,230
428,Assesse,93
429,Linter,199
430,Nieuwerkerken,324
431,Stavelot,85
432,Beauvechain,188
433,Saint-Georges-sur-Meuse,345
434,Chièvres,151
435,Beaumont,76
436,Anhée,108
437,Saint-Laurent,94
438,Ittre,200
439,Pittem,200
440,Kluisbergen,225
441,Lierde,261
442,Hoegaarden,201
443,Quiévrain,320
444,Villers-le-Bouillet,208
445,Hensies,258
446,Bekkevoort,182
447,Ramillies,137
448,Kaprijke,198
449,Braives,149
450,Wortegem-Petegem,154
451,Markedal,137
452,Engis,227
453,Vaux-sur-Sûre,46
454,Geetbets,176
455,Hastière,109
456,Somme-Leuze,64
457,Lontzen,211
458,Étalle,76
459,Remicourt,263
460,Ellezelles,132
461,Pecq,180
462,Lobbes,185
463,Drogenbos,2378
464,Lendelede,443
465,Léglise,34
466,Attert,82
467,Florenville,39
468,Nandrin,159
469,Nassogne,51
470,Celles,85
471,Hotton,100
472,Saint-Hubert,51
473,Incourt,146
474,Limbourg,229
475,Butgenbach,58
476,Viroinval,47
477,Marchin,186
478,Amblève,45
479,Héron,146
480,Thimister-Clermont,195
481,Bullange,37
482,Paliseul,50
483,Gouvy,33
484,Havelange,52
485,Glabbeek,213
486,Bouillon,36
487,Rumes,223
488,Libin,38
489,Comblain-au-Pont,235
490,Chiny,47
491,Houffalize,32
492,Momignies,61
493,Ohey,92
494,Houyet,42
495,Honnelles,117
496,Ferrières,90
497,Alveringem,62
498,Cerfontaine,60
499,Clavier,62
500,Sivry-Rance,66
501,Gedinne,31
502,Linkebeek,1116
503,Musson,132
504,Lens,93
505,Tintigny,56
506,Pepingen,128
507,Baelen,52
508,Fourons,87
509,Verlaine,179
510,Aubel,226
511,Anthisnes,113
512,Modave,104
513,Merbes-le-Château,137
514,Olne,258
515,Faimes,145
516,La Roche-en-Ardenne,28
517,Froidchapelle,47
518,Oreye,207
519,Burg-Reuland,36
520,Mont-de-l'Enclus,143
521,Brugelette,135
522,Hélécine,227
523,Hamoir,136
524,Saint-Léger,103
525,Manhay,31
526,Lierneux,39
527,Vleteren,93
528,Geer,151
529,Crisnée,209
530,Bièvre,32
531,Flobecq,148
532,Fexhe-le-Haut-Clocher,176
533,Lincent,229
534,Érezée,42
535,Berloz,230
536,Burdinne,101
537,Onhaye,49
538,Lo-Reninge,51
539,Stoumont,29
540,Wellin,46
541,Wasseiges,128
542,Donceel,133
543,Baerle-Duc,405
544,Doische,35
545,Tenneville,31
546,Meix-devant-Virton,51
547,Ouffet,69
548,Tinlot,75
549,Sainte-Ode,28
550,Rendeux,39
551,Zuyenkerque,55
552,Trois-Ponts,37
553,Tellin,45
554,Vresse-sur-Semois,24
555,Fauvillers,33
556,Biévène,118
557,Rouvroy,76
558,Martelange,69
559,Espierres-Helchin,191
560,Horebeke,179
561,Herbeumont,30
562,Daverdisse,25
563,Messines,299
564,Herstappe,56
